,id,latitude,longitude,accommodates,price
212,6378503,48.42873,-123.37007,4.0,188.5
213,6405667,48.5,-123.27105,4.0,155.5
214,6406630,48.44459,-123.35633,2.0,188.5
215,6425129,48.41331,-123.35214,9.0,155.5
216,6436140,48.32882,-123.63407,7.0,188.5
217,6439077,48.44021,-123.42031,2.0,88.0
218,6462183,48.42294,-123.36355,4.0,196.0
219,6479214,48.37515,-123.4,3.0,130.0
220,6578076,48.40838,-123.35517,1.0,52.0
221,6674562,48.37152,-123.4,4.0,140.0
222,6674721,48.37294,-123.4,4.0,170.0
223,6748747,48.46593,-123.48426,7.0,188.5
224,6761229,48.5,-123.53388,2.0,88.0
225,6801064,48.40922,-123.35653,1.0,75.0
226,6924573,48.47346,-123.32916,6.0,99.0
227,6956821,48.5,-123.45531,3.0,150.0
228,7012350,48.42562,-123.36459,3.0,90.0
229,7025594,48.43108,-123.3119,2.0,99.0
230,7052488,48.42837,-123.36911,2.0,75.0
231,7054673,48.5,-123.50709,2.0,149.0
232,7546156,48.52842,-123.43847,1.0,61.0
233,7582123,48.4261,-123.36117,4.0,188.5
234,7636839,48.46075,-123.38252,3.0,95.0
235,7679843,48.5,-123.51664,8.0,310.0
236,7681257,48.47109,-123.41647,2.0,86.0
237,7730121,48.42038,-123.36329,2.0,188.5
238,7730729,48.41929,-123.36732,6.0,188.5
239,7731691,48.42192,-123.36659,4.0,188.5
240,7743150,48.4261404,-123.3570299,4.0,178.0
241,7761048,48.42727,-123.36244,2.0,96.0
242,7764295,48.46458,-123.32089,2.0,170.0
243,7774769,48.35856,-123.4,6.0,125.0
244,7872008,48.432083,-123.387482,5.0,165.0
245,7872165,48.41649,-123.36904,4.0,136.0
246,7872525,48.41192,-123.35083,4.0,128.0
247,7873574,48.5,-123.46753,7.0,165.0
248,8010237,48.42700958251953,-123.36891174316406,2.0,100.0
249,8028499,48.42502,-123.35398,2.0,92.0
250,8118940,48.46222,-123.38101,2.0,53.0
251,8319809,48.45483,-123.27758,4.0,155.5
252,8482102,48.5,-123.46819,6.0,238.0
253,8540423,48.46327,-123.36013,1.0,70.0
254,8650728,48.41104,-123.49763,4.0,188.5
255,8776223,48.68511,-123.42862,8.0,155.5
256,8845989,48.67248,-123.4765,6.0,120.0
257,8846038,48.67133,-123.47736,2.0,70.0
258,8934727,48.5,-123.39982,2.0,110.0
259,9156598,48.43863,-123.3262,8.0,155.5
260,9189062,48.46985,-123.50573,4.0,114.0
261,9436886,48.67767,-123.46355,4.0,155.5
262,9496257,48.43429,-123.39807,4.0,250.0
263,9616935,48.44893232287767,-123.48942942917348,4.0,134.0
264,9716578,48.45005,-123.36609,6.0,185.0
265,9719510,48.43291,-123.40351,4.0,115.0
266,9825160,48.5,-123.50023,2.0,110.0
267,9846617,48.43017,-123.31196,2.0,85.0
268,9879224,48.42324,-123.36468,4.0,166.0
269,9925595,48.46218,-123.32273,2.0,94.0
270,10222754,48.54054,-123.41119,2.0,83.0
271,10294984,48.5,-123.24879,6.0,155.5
272,10313948,48.57408,-123.37246,2.0,150.0
273,10386600,48.43393,-123.4,2.0,89.0
274,10393310,48.55406,-123.4,4.0,165.0
275,10408774,48.5,-123.5827,6.0,155.5
276,10650128,48.4172,-123.50643,2.0,105.0
277,10681011,48.5,-123.34398,8.0,188.5
278,10701073,48.64355,-123.40218,4.0,120.0
279,10721076,48.42933,-123.36782,4.0,110.0
280,10756434,48.42129,-123.34482,2.0,100.0
281,10805397,48.5,-123.29623,4.0,175.0
282,10840282,48.66707,-123.40441,2.0,225.0
283,10841617,48.5,-123.32017,4.0,121.0
284,10879748,48.46186,-123.48832,2.0,57.0
285,11084827,48.42226,-123.38098,5.0,278.0
286,11084967,48.42226,-123.38098,5.0,278.0
287,11085075,48.42226,-123.38098,7.0,155.5
288,11085155,48.42226,-123.38098,5.0,278.0
289,11192626,48.4745,-123.33291,3.0,135.0
290,11229005,48.42184,-123.37832,5.0,248.0
291,11243817,48.48341,-123.31651,2.0,198.0
292,11302460,48.4215,-123.37999,5.0,279.0
293,11341815,48.5,-123.51152,2.0,188.5
294,11361297,48.36168,-123.4,6.0,155.5
295,11458215,48.5,-123.19195,8.0,155.5
296,11555719,48.44637,-123.31825,1.0,95.0
297,11640237,48.44271,-123.39717,2.0,188.5
298,11649703,48.5,-123.33982,6.0,188.5
299,11658120,48.37575,-123.4,2.0,185.0
300,11679350,48.42484,-123.36682,4.0,188.5
301,11802806,48.45382,-123.36163,2.0,200.0
302,11827676,48.74594,-123.17651,6.0,155.5
303,11828623,48.5196,-123.36679,4.0,180.0
304,11842984,48.45419,-123.26661,4.0,95.0
305,11847848,48.45592,-123.26701,4.0,200.0
306,11928520,48.43099,-123.34203,6.0,155.5
307,11985579,48.42299,-123.3539,2.0,99.0
308,12038812,48.45174,-123.41093,3.0,229.0
309,12056743,48.57758,-123.38041,2.0,99.0
310,12067676,48.47078,-123.48633,5.0,188.5
311,12092909,48.5,-123.47248,2.0,199.0
312,12147967,48.58705,-123.42044,7.0,279.0
313,12156952,48.5,-123.49086,4.0,200.0
314,12170016,48.41018,-123.35194,4.0,188.5
315,12175162,48.4387,-123.39509,2.0,91.0
316,12205428,48.4349,-123.3329,8.0,300.0
317,12209573,48.41618,-123.36771,4.0,75.0
318,12219298,48.5,-123.50659,3.0,188.5
319,12324255,48.44286,-123.3196,1.0,65.0
320,12384495,48.5,-123.50287,2.0,188.5
321,12427243,48.4299,-123.31987,3.0,207.0
322,12496581,48.46503,-123.34577,2.0,130.0
323,12513336,48.5,-123.31745,4.0,246.0
324,12534898,48.41519,-123.48139,2.0,100.0
325,12543138,48.5,-123.32413,2.0,140.0
326,12562419,48.46987,-123.51354,3.0,98.0
327,12600642,48.5,-123.39229,4.0,210.0
328,12763205,48.5,-123.3228,2.0,220.0
329,12780129,48.43868,-123.33979,2.0,89.0
330,12812834,48.42494,-123.40903,2.0,188.5
331,12826914,48.42859,-123.39911,3.0,188.5
332,12847514,48.45513,-123.26713,2.0,120.0
333,12853918,48.55404,-123.4,6.0,283.0
334,12884771,48.46359,-123.29739,2.0,75.0
335,12925681,48.5,-123.58883,2.0,200.0
336,12950843,48.44947,-123.43661,2.0,200.0
337,12986692,48.5,-123.51182,2.0,188.5
338,13030613,48.43659210205078,-123.32998657226562,2.0,85.0
339,13078478,48.38173,-123.4,4.0,155.5
340,13079607,48.42276,-123.38071,5.0,281.0
341,13097532,48.5,-123.57676,3.0,123.0
342,13153700,48.45159,-123.41134,2.0,79.0
343,13155530,48.5,-123.32032,2.0,146.0
344,13169424,48.5,-123.32417,2.0,213.0
345,13231692,48.46385,-123.45385,1.0,60.0
346,13264457,48.5,-123.57487,3.0,118.0
347,13264604,48.5,-123.57479,6.0,234.0
348,13276119,48.41266,-123.37181,2.0,109.0
349,13285391,48.44392,-123.40074,2.0,65.0
350,13369123,48.5,-123.31183,6.0,295.0
351,13374069,48.5,-123.50188,4.0,250.0
352,13418530,48.5,-123.49222,2.0,150.0
353,13481151,48.48172,-123.33498,2.0,130.0
354,13489095,48.42832,-123.36768,2.0,188.5
355,13507247,48.4757,-123.52583,3.6,155.5
356,13550701,48.42051,-123.37856,2.0,132.0
357,13564269,48.55226,-123.4,3.6,155.5
358,13574378,48.5,-123.27993,2.0,165.0
359,13624021,48.63248,-123.41495,6.0,155.5
360,13638441,48.40584,-123.3553,4.0,103.0
361,13642243,48.40926,-123.3523,6.0,188.5
362,13653870,48.45799,-123.52547,2.0,72.0
363,13676222,48.5,-123.24876,4.0,190.0
364,13676937,48.41571,-123.36968,6.0,200.0
365,13686697,48.42126,-123.38151,5.0,155.5
366,13688451,48.42965,-123.33335,2.0,188.5
367,13696281,48.5,-123.53363,4.0,118.0
368,13699673,48.5,-123.44814,2.0,140.0
369,13726870,48.472553,-123.518913,4.0,250.0
370,13727725,48.41757,-123.33405,6.0,188.5
371,13734850,48.42843,-123.40513,4.0,132.0
372,13752769,48.41046,-123.3458,2.0,188.5
373,13755104,48.48188,-123.33515,1.0,90.0
374,13789121,48.47431,-123.31519,6.0,188.5
375,13796847,48.43377,-123.31294,2.0,99.0
376,13809386,48.42265,-123.38076,6.0,155.5
